famillesPlantes;Nbre par Famille de plante
Arecaceae;85
Rutaceae;363
Equisetaceae;186
Berberidaceae;39
Hymenochaetaceae;15
Haematococcaceae;30
Bignoniaceae;15
Orobanchaceae;6
Magnoliaceae;5
Pedaliaceae;228
Moraceae;98
Scrophulariaceae;28
Rosaceae;866
Menispermaceae;10
Tremellaceae;3
Nelumbonaceae;12
Apocynaceae;59
Violaceae;68
Balsaminaceae;14
Elaeocarpaceae;8
Iridaceae;78
Gelidiaceae;5
Tropaeolaceae;9
Polypodiaceae;1
Gentianaceae;53
Spirulinaceae;654
Geraniaceae;60
Hamamelidaceae;71
Schisandraceae;32
Ulvaceae;17
Fumariaceae;1
Solanaceae;200
Bromeliaceae;66
Rubiaceae;135
Asparagaceae;185
Rhamnaceae;16
Zygophyllaceae;130
Polygalaceae;2
Amaryllidaceae;251
Nostocaceae;63
Malvaceae;248
Pinaceae;241
Polygonaceae;45
Elaeagnaceae;50
Parmeliaceae;2
Leguminosae;788
Chlorodendraceae;2
Dunaliellaceae;9
Alariaceae;5
Aquifoliaceae;33
Ophiocordycipitaceae;31
Actinidiaceae;3
Lamiaceae;1539
Ranunculaceae;93
Urticaceae;242
Chlorellaceae;178
Plumbaginaceae;13
Passifloraceae;168
Hericiaceae;38
Dioscoreaceae;43
Vitaceae;351
Ginkgoaceae;253
Cupressaceae;109
Apiaceae;380
Sterculiaceae;2
Amaranthaceae;38
Polyporaceae;5
Bixaceae;20
Pteridaceae;3
Combretaceae;17
Plantaginaceae;262
Ganodermataceae;69
Phrymaceae;13
Sapindaceae;396
Boraginaceae;136
Malpighiaceae;448
Theaceae;175
Moringaceae;89
Olacaceae;17
Agaricaceae;27
Juglandaceae;70
Euphorbiaceae;9
Campanulaceae;5
Salicaceae;112
Compositae;1441
Eucommiaceae;2
Monascaceae;136
Fucaceae;89
Convolvulaceae;4
Rhodomelaceae;1
Cistaceae;17
Anacardiaceae;23
Araliaceae;457
Clusiaceae;118
Annonaceae;65
Cucurbitaceae;168
Irvingiaceae;3
Orchidaceae;4
Ericaceae;513
Oleaceae;290
Cladoniaceae;28
Poaceae;503
Grossulariaceae;196
Pleurotaceae;10
Caprifoliaceae;209
Asteraceae;127
Taxodiaceae;26
Lycopodiaceae;9
Eupodiscaceae;2
Zingiberaceae;472
Gigartinaceae;2
Papaveraceae;226
Cactaceae;107
Proteaceae;3
Tamaricaceae;16
Crassulaceae;202
Myrtaceae;373
Santalaceae;25
Burseraceae;164
Symplocaceae;4
Himanthaliaceae;2
Styracaceae;1
Piperaceae;76
Lauraceae;180
Paeoniaceae;7
Boletaceae;5
Phyllanthaceae;25
Lessoniaceae;2
Fagaceae;160
Brassicaceae;229
Myristicaceae;4
Onagraceae;190
Sapotaceae;8
Dictyotaceae;5
Betulaceae;229
Sargassaceae;4
Smilacaceae;15
Cornaceae;21
Araceae;124
Platanaceae;8
Caesalpiniaceae;34
Cannabaceae;69
Monimiaceae;25
Cyperaceae;7
Liliaceae;3
Caricaceae;54
Linaceae;64
Ulmaceae;37
Hapalidiaceae;211
Marasmiaceae;66
Hyperaceae;111
Laminariaceae;14
Primulaceae;24
Adoxaceae;72
Saururaceae;3
Acanthaceae;9
Lythraceae;61
Acoraceae;2
Verbenaceae;40
Caryophyllaceae;20
Lyophyllaceae;2
Palmariaceae;1
Simmondsiaceae;1
Krameriaceae;1
Meliaceae;2
Alismataceae;2
"";28546
